timestamp,payload
2025-06-05T19:18:19,
2025-06-05T19:18:19,--- BME280 Sensor Data ---
2025-06-05T19:18:19,Temperature: 26.10 °C
2025-06-05T19:18:19,Pressure: 987.59 hPa
2025-06-05T19:18:19,Humidity: 57.79 %
2025-06-05T19:18:19,
2025-06-05T19:18:23,The estimated value based on Rs/R0=9.65 is: 16.90 ppm
2025-06-05T19:18:23,--- BME280 Sensor Data ---
2025-06-05T19:18:23,Temperature: 26.10 °C
2025-06-05T19:18:23,Pressure: 987.59 hPa
2025-06-05T19:18:23,Humidity: 57.74 %
2025-06-05T19:18:23,
2025-06-05T19:18:27,The estimated value based on Rs/R0=9.82 is: 16.38 ppm
2025-06-05T19:18:27,--- BME280 Sensor Data ---
2025-06-05T19:18:27,Temperature: 26.11 °C
2025-06-05T19:18:27,Pressure: 987.60 hPa
2025-06-05T19:18:27,Humidity: 57.77 %
2025-06-05T19:18:27,
2025-06-05T19:18:31,The estimated value based on Rs/R0=9.68 is: 16.81 ppm
2025-06-05T19:18:31,--- BME280 Sensor Data ---
2025-06-05T19:18:31,Temperature: 26.11 °C
2025-06-05T19:18:31,Pressure: 987.59 hPa
2025-06-05T19:18:32,Humidity: 57.71 %
2025-06-05T19:18:32,
2025-06-05T19:18:36,The estimated value based on Rs/R0=9.62 is: 16.99 ppm
2025-06-05T19:18:36,--- BME280 Sensor Data ---
2025-06-05T19:18:36,Temperature: 26.11 °C
2025-06-05T19:18:36,Pressure: 987.59 hPa
2025-06-05T19:18:36,Humidity: 57.65 %
2025-06-05T19:18:36,
2025-06-05T19:18:40,The estimated value based on Rs/R0=9.62 is: 16.99 ppm
2025-06-05T19:18:40,--- BME280 Sensor Data ---
2025-06-05T19:18:40,Temperature: 26.12 °C
2025-06-05T19:18:40,Pressure: 987.59 hPa
2025-06-05T19:18:40,Humidity: 57.68 %
2025-06-05T19:18:40,
2025-06-05T19:18:44,The estimated value based on Rs/R0=9.65 is: 16.90 ppm
2025-06-05T19:18:44,--- BME280 Sensor Data ---
2025-06-05T19:18:44,Temperature: 26.12 °C
2025-06-05T19:18:44,Pressure: 987.59 hPa
2025-06-05T19:18:44,Humidity: 57.62 %
2025-06-05T19:18:44,
2025-06-05T19:18:49,The estimated value based on Rs/R0=9.76 is: 16.55 ppm
2025-06-05T19:18:49,--- BME280 Sensor Data ---
2025-06-05T19:18:49,Temperature: 26.13 °C
2025-06-05T19:18:49,Pressure: 987.59 hPa
2025-06-05T19:18:49,Humidity: 57.62 %
2025-06-05T19:18:49,
2025-06-05T19:18:53,The estimated value based on Rs/R0=9.65 is: 16.90 ppm
2025-06-05T19:18:53,--- BME280 Sensor Data ---
2025-06-05T19:18:53,Temperature: 26.13 °C
2025-06-05T19:18:53,Pressure: 987.58 hPa
2025-06-05T19:18:53,Humidity: 57.61 %
2025-06-05T19:18:53,
2025-06-05T19:18:57,The estimated value based on Rs/R0=9.65 is: 16.90 ppm
2025-06-05T19:18:57,--- BME280 Sensor Data ---
2025-06-05T19:18:57,Temperature: 26.13 °C
2025-06-05T19:18:57,Pressure: 987.58 hPa
2025-06-05T19:18:57,Humidity: 57.57 %
2025-06-05T19:18:57,
2025-06-05T19:19:01,The estimated value based on Rs/R0=9.56 is: 17.17 ppm
2025-06-05T19:19:01,--- BME280 Sensor Data ---
2025-06-05T19:19:01,Temperature: 26.14 °C
2025-06-05T19:19:01,Pressure: 987.57 hPa
2025-06-05T19:19:01,Humidity: 57.58 %
2025-06-05T19:19:01,
2025-06-05T19:19:06,The estimated value based on Rs/R0=9.76 is: 16.55 ppm
2025-06-05T19:19:06,--- BME280 Sensor Data ---
2025-06-05T19:19:06,Temperature: 26.13 °C
2025-06-05T19:19:06,Pressure: 987.56 hPa
2025-06-05T19:19:06,Humidity: 57.55 %
2025-06-05T19:19:06,
2025-06-05T19:19:10,The estimated value based on Rs/R0=9.76 is: 16.55 ppm
2025-06-05T19:19:10,--- BME280 Sensor Data ---
2025-06-05T19:19:10,Temperature: 26.13 °C
2025-06-05T19:19:10,Pressure: 987.57 hPa
2025-06-05T19:19:10,Humidity: 57.51 %
2025-06-05T19:19:10,
